2019-04-25 20:56:44.722 UTC [main]  TRACE LineSegmentationEvaluatorTool:42 - main
2019-04-25 20:56:44.733 UTC [main]  INFO  LineSegmentationEvaluatorTool:130 - Loading image ground truth from diva_pixel_label_gt/ms_9.png
2019-04-25 20:56:45.172 UTC [main]  INFO  LineSegmentationEvaluatorTool:138 - Loading page ground truth from multi_skew_truth_xml/ms_9.xml
2019-04-25 20:56:45.173 UTC [main]  TRACE ImageLinePageDataset:51 - readDataFromFile
2019-04-25 20:56:45.243 UTC [main]  TRACE ImageLinePageDataset:82 - getPolygonFromXml
2019-04-25 20:56:45.295 UTC [main]  DEBUG ImageLinePageDataset:129 - found 76 polygons in XML document
2019-04-25 20:56:45.298 UTC [main]  TRACE ImageLinePageDataset:67 - java.util.ArrayList@3b22cdd0
2019-04-25 20:56:45.298 UTC [main]  INFO  LineSegmentationEvaluatorTool:143 - Loading method output from multi_skew_prediction_xml/ms_9.xml
2019-04-25 20:56:45.298 UTC [main]  TRACE ImageLinePageDataset:51 - readDataFromFile
2019-04-25 20:56:45.314 UTC [main]  TRACE ImageLinePageDataset:82 - getPolygonFromXml
2019-04-25 20:56:45.367 UTC [main]  DEBUG ImageLinePageDataset:129 - found 44 polygons in XML document
2019-04-25 20:56:45.368 UTC [main]  TRACE ImageLinePageDataset:67 - java.util.ArrayList@1e81f4dc
2019-04-25 20:56:45.368 UTC [main]  INFO  LineSegmentationEvaluatorTool:148 - Evaluating...
2019-04-25 20:56:45.370 UTC [main]  TRACE LineSegmentationEvaluator:50 - evaluate
2019-04-25 20:56:45.370 UTC [main]  TRACE LineSegmentationEvaluator:316 - getMatchingPolygons
2019-04-25 20:56:45.371 UTC [main]  TRACE LineSegmentationEvaluator:339 - matching possibility for GT: java.awt.Polygon@48cf768c
2019-04-25 20:56:46.068 UTC [main]  TRACE LineSegmentationEvaluator:391 - matching possibility: java.awt.Polygon@48cf768c * java.awt.Polygon@512ddf17 = 0.020404053963353246
2019-04-25 20:56:46.069 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@48cf768c with MO: java.awt.Polygon@2c13da15
2019-04-25 20:56:46.069 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@48cf768c with MO: java.awt.Polygon@77556fd
2019-04-25 20:56:46.069 UTC [main]  TRACE LineSegmentationEvaluator:349 - no matching possibility of java.awt.Polygon@48cf768c with MO: java.awt.Polygon@368239c8
2019-04-25 20:56:46.575 UTC [main]  TRACE LineSegmentationEvaluator:391 - matching possibility: java.awt.Polygon@48cf768c * java.awt.Polygon@9e89d68 = 0.06483975022935101
2019-04-25 20:56:46.687 UTC [main]  TRACE LineSegmentationEvaluator:391 - matching possibility: java.awt.Polygon@48cf768c * java.awt.Polygon@3b192d32 = 0.023384336206541016
